Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2008-01-01,177.3598175048828,181.13556930278182,176.9309367748621,181.13556930278182,928388
2008-01-02,176.5945587158203,178.44459694998605,173.48313077654157,178.27641165597097,2864924
2008-01-03,170.0437774658203,175.7536715268412,169.08511902263032,173.24770597984497,5168280
2008-01-04,169.0598602294922,172.03674199773943,168.57211876893743,170.04374009707504,2318868
2008-01-07,164.08160400390625,169.66535901846254,163.5602335864787,168.18533016604493,3647344
2008-01-08,166.141845703125,166.8398188092704,163.02201041855537,164.82159519464213,3207732
2008-01-09,167.56304931640625,169.1944491394827,166.48666931798985,167.3107713107311,2450128
2008-01-10,165.09910583496094,169.78306239015816,161.7942605441626,167.84893141691714,3342376
2008-01-11,166.46142578125,168.85806666771913,153.94843346791365,153.94843346791365,2149188
2008-01-14,161.65133666992188,168.15169362122353,160.7178998610359,168.15169362122353,4158864
2008-01-15,158.09417724609375,162.80336550448803,157.08506547643782,162.29880961966006,2935588
2008-01-16,158.92672729492188,162.58475816852456,155.5714279578152,158.09420787064462,3131956
2008-01-17,155.1846160888672,162.46703929620188,154.56232827454403,162.4334001749809,6302096
2008-01-18,151.90501403808594,158.0942330225194,150.87907721785072,156.32828680258703,4333816
2008-01-21,139.77037048339844,152.15722007087393,135.43119244927428,152.03948832554354,4840032
2008-01-22,134.59033203125,166.50350354381445,121.93438390834895,137.02061249460513,6376872
2008-01-23,147.20098876953125,150.24815433316002,135.89861150358857,145.01479165413986,5359120
2008-01-24,142.35597229003906,149.91058807418284,139.40165326830686,146.871859937544,2013336
2008-01-25,149.33660888671875,151.54813398199153,143.51237968845413,144.00195669912262,2243116
2008-01-28,144.2213592529297,146.87180655848948,139.27498897787794,146.87180655848948,2485660
2008-01-29,146.48353576660156,149.33655680525703,144.33954283564253,144.50836101439768,3258712
2008-01-30,146.8464813232422,150.585807917162,145.18362646721894,148.89762621405478,3032856
2008-01-31,147.50491333007812,150.2482092861454,141.02228984158694,146.87184503252413,5966956
2008-02-01,156.91650390625,158.87479074255248,147.4289197911172,149.4040946283284,4169520
2008-02-04,164.70751953125,166.96123890760427,158.52032693047565,159.5332363677311,3730520
2008-02-05,161.22979736328125,164.5977220443419,157.95473092234624,162.0654493975059,1722872
2008-02-06,152.96617126464844,157.00093048135258,151.0078842102902,157.00093048135258,4007952
2008-02-07,148.39962768554688,152.96615765894876,147.04908216712298,152.96615765894876,2574652
2008-02-08,151.66627502441406,156.1568350235533,148.56001602240747,149.23528882250932,2576820
2008-02-11,152.96617126464844,157.3385668909899,145.20053384299015,151.66627933062117,3200988
2008-02-12,145.9687042236328,156.1568815063164,145.18369523830498,152.78051650077444,5161328
2008-02-13,146.69456481933594,151.4299128769603,143.71491971421028,147.71591278410287,2185376
2008-02-14,147.51327514648438,151.93631206972677,145.35240521337195,149.404040201898,2246480
2008-02-15,147.32763671875,149.75017362774042,145.18364364141598,145.18364364141598,2213044
2008-02-18,144.03565979003906,147.71589370969485,143.49543960370357,147.32761399271226,1723160
2008-02-19,147.7919158935547,149.23530964439118,144.33958116058196,144.5083993841616,1947288
